program	case_state	status	block	row_count	terminal_kind	successor_vm_ip	successor_entry	edge_kind	edge_delta	edge_semantic_ir	raw_bytes_0_5	raw_u16_0	raw_u16_1	raw_u16_2	raw_u16_4	observed_pre_state	observed_pre_flags	observed_pre_byte	observed_first_target_entry	trace_observations	trace_with_pre_state	reduction	missing
060	0x369ad3	needs_more_evidence	433	21	long_branch_backedge	0x368f60	165	decoded_control	-0xbc0	next = table[165], ip -= 0xbc0	0x79 0x0 0x58 0x60 0x34 0xff	0x79	0x5800	0x6058	0xff34				121	33	0	concrete_successor_edge	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
060	0x369b28	needs_more_evidence	434	78	exact_instruction	0x369c4a	95	covered_synthetic_fallthrough	+0x4	next = 95@0x8c41c:1, ip += +0x4; dispatch_model=static_100	0x40 0x0 0x6 0xa4 0x68 0x0	0x40	0x600	0xa406	0x68				64	11	0	concrete_successor_edge	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
060	0x369c58	needs_more_evidence	435	171	exact_instruction	0x369edb	278	covered_synthetic_fallthrough	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100	0x4d 0x1 0xeb 0xe0 0x99 0x0	0x14d	0xeb01	0xe0eb	0x99				333	11	0	concrete_successor_edge	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
060	0x369ee9	needs_more_evidence	436	117	sampled_operand_backedge	0x364c72	310	decoded_control	-0x542a	sampled operand footprint 0x6; observed target table[310], delta -0x542a	0x40 0x0 0x75 0xa3 0x99 0x0	0x40	0x7500	0xa375	0x99				64	11	0	concrete_successor_edge	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
