trace_dir	runtime_config	run_mode	network_policy	source_program	target_program	count	first_seq	last_seq
dumps/vmtail-mode0-w16	x_mode_0	0	blocked_observed	054	046	1	152596	152596
dumps/vmtail-mode0-w16	x_mode_0	0	blocked_observed	046	047	1	152828	152828
dumps/vmtail-mode0-w16	x_mode_0	0	blocked_observed	047	043	1	153048	153048
dumps/vmtail-mode0-w16	x_mode_0	0	blocked_observed	043	050	1	153171	153171
dumps/vmtail-mode0-w16	x_mode_0	0	blocked_observed	050	053	1	156865	156865
dumps/vmtail-mode0-w16	x_mode_0	0	blocked_observed	054	050	1	159587	159587
dumps/vmtail-mode0-w16	x_mode_0	0	blocked_observed	050	051	1	159819	159819
dumps/vmtail-mode0-w16	x_mode_0	0	blocked_observed	051	043	1	160039	160039
dumps/vmtail-mode0-w16	x_mode_0	0	blocked_observed	043	052	1	160163	160163
dumps/vmtail-mode0-w16	x_mode_0	0	blocked_observed	052	043	1	163537	163537
dumps/vmtail-mode0-w16	x_mode_0	0	blocked_observed	043	044	1	163667	163667
dumps/vmtail-mode0-w16	x_mode_0	0	blocked_observed	044	045	1	163681	163681
dumps/vmtail-mode0-w16	x_mode_0	0	blocked_observed	045	010	1	164201	164201
dumps/vmtail-mode0-w16	x_mode_0	0	blocked_observed	010	055	1	164325	164325
dumps/vmtail-mode0-w16	x_mode_0	0	blocked_observed	055	041	1	173820	173820
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	033	034	4	114	7803
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	034	033	1	1551	1551
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	034	032	3	3100	9239
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	032	033	2	3433	7690
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	032	007	1	11614	11614
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	007	008	1	12638	12638
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	008	009	1	12826	12826
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	009	010	1	13020	13020
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	010	025	1	14353	14353
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	025	001	1	14830	14830
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	001	002	1	15210	15210
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	002	000	1	15287	15287
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	000	029	1	16090	16090
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	029	000	1	89199	89199
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	000	030	1	89366	89366
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	030	000	1	132119	132119
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	000	002	1	132235	132235
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	002	003	1	133238	133238
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	003	025	1	133551	133551
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	025	004	1	133742	133742
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	004	005	1	134231	134231
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	005	006	1	134388	134388
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	006	025	1	134582	134582
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	025	010	1	134843	134843
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	010	042	1	135007	135007
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	042	043	1	139731	139731
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	043	048	1	139785	139785
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	048	053	1	143140	143140
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	053	054	12	143992	159517
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	054	053	9	144013	159238
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	054	048	1	145863	145863
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	048	049	1	146098	146098
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	049	043	1	146320	146320
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	043	046	1	146443	146443
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	046	053	1	149874	149874
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	054	046	1	152596	152596
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	046	047	1	152828	152828
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	047	043	1	153048	153048
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	043	050	1	153171	153171
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	050	053	1	156865	156865
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	054	050	1	159587	159587
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	050	051	1	159819	159819
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	051	043	1	160039	160039
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	043	052	1	160163	160163
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	052	043	1	163537	163537
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	043	044	1	163667	163667
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	044	045	1	163681	163681
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	045	010	1	164201	164201
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	010	055	1	164325	164325
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	055	041	1	173820	173820
dumps/vmtail-residual-122e3c-context	x_mode_1	1	blocked_observed	033	034	4	2	29
dumps/vmtail-residual-122e3c-context	x_mode_1	1	blocked_observed	034	033	3	10	28
dumps/vmtail-residual-122e3c-context	x_mode_1	1	blocked_observed	034	048	1	37	37
dumps/vmtail-residual-122e3c-context	x_mode_1	1	blocked_observed	048	049	1	46	46
dumps/vmtail-residual-122e3c-context	x_mode_1	1	blocked_observed	049	052	1	47	47
dumps/vmtail-residual-122e3c-context	x_mode_1	1	blocked_observed	052	055	1	53	53
dumps/vmtail-residual-122e3c-context	x_mode_1	1	blocked_observed	055	041	1	61	61
dumps/vmtail-residual-122e3c-context	x_mode_1	1	blocked_observed	041	055	1	3352	3352
dumps/vmtail-residual-122e3c-context	x_mode_1	1	blocked_observed	055	056	1	3364	3364
dumps/vmtail-residual-122e3c-context	x_mode_1	1	blocked_observed	056	019	1	3385	3385
dumps/vmtail-residual-122e3c-context	x_mode_1	1	blocked_observed	019	039	1	3386	3386
dumps/vmtail-state-residual-targets	x_mode_1	1	blocked_observed	033	034	4	2	29
dumps/vmtail-state-residual-targets	x_mode_1	1	blocked_observed	034	033	3	10	28
dumps/vmtail-state-residual-targets	x_mode_1	1	blocked_observed	034	048	1	37	37
dumps/vmtail-state-residual-targets	x_mode_1	1	blocked_observed	048	049	1	46	46
dumps/vmtail-state-residual-targets	x_mode_1	1	blocked_observed	049	052	1	47	47
dumps/vmtail-state-residual-targets	x_mode_1	1	blocked_observed	052	055	1	53	53
dumps/vmtail-state-residual-targets	x_mode_1	1	blocked_observed	055	041	1	61	61
dumps/vmtail-state-residual-targets	x_mode_1	1	blocked_observed	041	055	1	3352	3352
dumps/vmtail-state-residual-targets	x_mode_1	1	blocked_observed	055	056	1	3365	3365
dumps/vmtail-state-residual-targets	x_mode_1	1	blocked_observed	056	058	1	3386	3386
dumps/vmtail-state-residual-targets	x_mode_1	1	blocked_observed	058	024	1	3387	3387
dumps/vmtail-state-residual-targets	x_mode_1	1	blocked_observed	024	031	1	3388	3388
dumps/vmtail-state-residual-targets	x_mode_1	1	blocked_observed	031	028	1	3389	3389
dumps/vmtail-state-residual-targets	x_mode_1	1	blocked_observed	028	027	1	3390	3390
dumps/vmtail-state-residual-targets	x_mode_1	1	blocked_observed	027	020	1	3391	3391
dumps/vmtail-state-residual-targets	x_mode_1	1	blocked_observed	020	021	1	3392	3392
dumps/vmtail-state-residual-targets	x_mode_1	1	blocked_observed	021	019	1	3393	3393
dumps/vmtail-state-smoke-w16	x_mode_1	1	blocked_observed	033	034	4	114	7803
dumps/vmtail-state-smoke-w16	x_mode_1	1	blocked_observed	034	033	1	1551	1551
dumps/vmtail-state-smoke-w16	x_mode_1	1	blocked_observed	034	032	3	3100	9239
dumps/vmtail-state-smoke-w16	x_mode_1	1	blocked_observed	032	033	2	3433	7690
dumps/vmtail-state-smoke-w16	x_mode_1	1	blocked_observed	032	007	1	11614	11614
dumps/vmtail-state-smoke-w16	x_mode_1	1	blocked_observed	007	008	1	12638	12638
dumps/vmtail-state-smoke-w16	x_mode_1	1	blocked_observed	008	009	1	12826	12826
dumps/vmtail-state-smoke-w16	x_mode_1	1	blocked_observed	009	010	1	13020	13020
dumps/vmtail-state-smoke-w16	x_mode_1	1	blocked_observed	010	025	1	14353	14353
dumps/vmtail-state-smoke-w16	x_mode_1	1	blocked_observed	025	001	1	14830	14830
dumps/vmtail-state-smoke-w16	x_mode_1	1	blocked_observed	001	002	1	15210	15210
dumps/vmtail-state-smoke-w16	x_mode_1	1	blocked_observed	002	000	1	15287	15287
dumps/vmtail-state-smoke-w16	x_mode_1	1	blocked_observed	000	029	1	16090	16090
dumps/vmtail-state-wide-w16	x_mode_1	1	blocked_observed	033	034	4	114	7803
dumps/vmtail-state-wide-w16	x_mode_1	1	blocked_observed	034	033	1	1551	1551
dumps/vmtail-state-wide-w16	x_mode_1	1	blocked_observed	034	032	3	3100	9239
dumps/vmtail-state-wide-w16	x_mode_1	1	blocked_observed	032	033	2	3433	7690
dumps/vmtail-state-wide-w16	x_mode_1	1	blocked_observed	032	007	1	11614	11614
