source_entry	opcode_name	problem_kind	state_kind	variables	status	template	candidate_c	random_tests	validation	original_state_formula
0	vmop_000_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	state_add_const	state0;u16_0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 ^ 0x1966e0e7 - u16_0 + state0 ^ 0x1966e0e7 - 0x251a0141
3	vmop_003_plus0x5_state_add_const_slot_multi_path	algebraic_mba	state_add_const	state0;flags0;u16_0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 - flags0 - 0x1c03cc82 - flags0 | 0x38c49877 - 0x742d9511 + 0x4ddaed7b ^ u16_0 ^ state0 - flags0 - 0x1c03cc82 - flags0 | 0x38c49877 - 0x742d9511 + 0x4ddaed7b + 0x4bc0d288
9	vmop_009_plus0x5_state_formula_slot_unknown	dispatch_unknown	state_formula	state0;u16_3	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 & u16_3 - state0 ^ 0x25d88329
13	vmop_013_plus0x5_state_add_const_slot_multi_path	algebraic_mba	state_add_const	state0;flags0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 ^ 0x67934603 ^ flags0 - 0x1c36555 | 0x771fee31 | 0x1490ac71 - 0x2de02e8
17	vmop_017_plus0x5_state_add_const_slot_multi_path	algebraic_mba	state_add_const	state0;flags0;u16_0;u16_3	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 | flags0 ^ 0x4365071c & u16_0 ^ state0 | flags0 ^ 0x4365071c + flags0 ^ 0x4365071c ^ 0x95f9698 + u16_3 - state0 | flags0 ^ 0x4365071c & u16_0 ^ state0 | flags0 ^ 0x4365071c + flags0 ^ 0x4365071c ^ 0x95f9698
18	vmop_018_plus0x3_state_add_const_slot_multi_path	algebraic_mba	state_add_const	state0;flags0;u16_0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 & flags0 | 0x954df65 + 0x5b466f3b - 0x6382ce20 & flags0 | 0x954df65 + 0x5b466f3b - u16_0 - state0 & flags0 | 0x954df65 + 0x5b466f3b - 0x6382ce20 & flags0 | 0x954df65 + 0x5b466f3b
20	vmop_020_plus0x4_state_add_const_slot_multi_path	algebraic_mba	state_add_const	state0;flags0;u16_2	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 | flags0 | 0x180e72f2 - 0x36332ac8 - flags0 ^ 0x58f71b08 & 0x17188826 & 0x1fa2014f | 0x38e67f26 - flags0 ^ 0x58f71b08 & 0x17188826 & u16_2 ^ state0 | flags0 | 0x180e72f2 - 0x36332ac8 - flags0 ^ 0x58f71b08 & 0x17188826 & 0x1fa2014f | 0x38e67f26 - flags0 ^ 0x58f71b08 & 0x17188826
26	vmop_026_plus0x4_state_add_const_slot_multi_path	algebraic_mba	state_add_const	state0;flags0;u16_0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 - 0x471264ca + flags0 - state0 ^ 0x5fcdb203 & 0x637d285c + 0x44b4a975 ^ state0 - 0x471264ca | 0x2a01f150 | 0x7bdf07f3 + 0x104dd6df ^ 0x505df542 ^ 0xe71ae1d & 0x6dbe9345 + 0x521a2f7b + state0 - 0x471264ca + 0x1bfb4659 - u16_0 ^ state0 - 0x471264ca + flags0 - state0 ^ 0x5fcdb203 & 0x637d285c + 0x44b4a975 ^ state0 - 0x471264ca | 0x2a01f150 | 0x7bdf07f3 + 0x104dd6df ^ 0x505df542 ^ 0xe71ae1d & 0x6dbe9345 + 0x521a2f7b + state0 - 0x471264ca + 0x1bfb4659 ^ 0x6f23a80c
30	vmop_030_plus0x4_state_add_const_slot_multi_path	algebraic_mba	state_add_const	state0;flags0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 | flags0 & 0x614d4b17 + 0x64fd160c
31	vmop_031_plus0x5_state_preserve_slot_mba_stateful	algebraic_mba	state_preserve	state0	candidate_simplified	identity	state0	4107	random_differential_against_compiled_original_not_formal_proof	state0
33	vmop_033_plus0x4_state_add_const_slot_multi_path	algebraic_mba	state_add_const	state0;u16_2	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 | 0x15422921 & u16_2 + state0 | 0x15422921 + 0x2d0713f3
35	vmop_035_plus0x5_state_preserve_slot_mba_stateful	algebraic_mba	state_preserve	state0	candidate_simplified	identity	state0	4107	random_differential_against_compiled_original_not_formal_proof	state0
36	vmop_036_plus0x5_state_add_const_slot_multi_path	algebraic_mba	state_add_const	state0;flags0;u16_0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 + flags0 ^ flags0 & 0x73966fc6 & 0x348b11be ^ 0x72d0ef43 | 0x7af5a860 ^ u16_0 - state0 + flags0 ^ flags0 & 0x73966fc6 & 0x348b11be ^ 0x72d0ef43 | 0x7af5a860
37	vmop_037_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	state_add_const	state0;flags0;u16_0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 - flags0 + 0x504fc3d - 0x4eca0e49 | u16_0 ^ state0 - flags0 + 0x504fc3d - 0x4eca0e49 ^ 0x384e1c86
40	vmop_040_plus0x6_state_add_const_slot_mba_stateful	algebraic_mba	state_add_const	state0;u16_4	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 & u16_4 ^ state0
42	vmop_042_plus0x4_state_mixed_slot_const_or_affine	algebraic_mba	state_mixed	state0;flags0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 - flags0 ^ state0 - 0x327f38a4 - 0x471012ae ^ 0x160c3a44
43	vmop_043_plus0x4_state_add_const_slot_mba_stateful	algebraic_mba	state_add_const	state0;u16_2	candidate_simplified	identity	u16_2	4107	random_differential_against_compiled_original_not_formal_proof	state0 ^ u16_2 ^ state0
48	vmop_048_plus0x5_state_add_const_slot_multi_path	algebraic_mba	state_add_const	state0;flags0;u16_0;u16_3	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 & u16_3 + state0 ^ flags0 ^ 0x8881ae0 - 0x1accc893 + 0x4f1a7667 - flags0 ^ 0x8881ae0 - 0x1accc893 & 0x6134e706 & 0x7e86fbd3 ^ 0x41ba58a6 & flags0 ^ 0x8881ae0 - 0x1accc893 & 0x6134e706 & 0x7e86fbd3 ^ 0x41ba58a6 ^ 0x79fc8ff4 | flags0 ^ 0x8881ae0 - 0x1accc893 & 0x6134e706 & 0x7e86fbd3 ^ 0x41ba58a6 - 0x430c028c & flags0 ^ 0x8881ae0 - 0x1accc893 & 0x6134e706 & 0x7e86fbd3 ^ 0x41ba58a6 + 0x157b2443 - u16_0 + state0 & u16_3 + state0 ^ flags0 ^ 0x8881ae0 - 0x1accc893 + 0x4f1a7667 - flags0 ^ 0x8881ae0 - 0x1accc893 & 0x6134e706 & 0x7e86fbd3 ^ 0x41ba58a6 & flags0 ^ 0x8881ae0 - 0x1accc893 & 0x6134e706 & 0x7e86fbd3 ^ 0x41ba58a6 ^ 0x79fc8ff4 | flags0 ^ 0x8881ae0 - 0x1accc893 & 0x6134e706 & 0x7e86fbd3 ^ 0x41ba58a6 - 0x430c028c & flags0 ^ 0x8881ae0 - 0x1accc893 & 0x6134e706 & 0x7e86fbd3 ^ 0x41ba58a6 + 0x157b2443
49	vmop_049_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	state_add_const	state0;flags0;u16_1	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 & flags0 + flags0 - 0x353700ed + 0x55a592d8 - u16_1 + state0 & flags0 + flags0 - 0x353700ed + 0x55a592d8 + 0x55b8ef8d
52	vmop_052_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	state_add_const	state0;u16_0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 + u16_0 + state0 ^ 0x7823b2da
54	vmop_054_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	state_add_const	state0;flags0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 & flags0 - 0x68b4ad2f
56	vmop_056_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	state_add_const	state0;u16_0	candidate_simplified	xor_const	u16_0 ^ 0x5380ff71u	4107	random_differential_against_compiled_original_not_formal_proof	state0 + u16_0 - state0 ^ 0x5380ff71
62	vmop_062_plus0x4_state_add_const_slot_multi_path	algebraic_mba	state_add_const	state0;flags0;u16_0;u16_2	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 | u16_2 ^ flags0 + 0xd90ded5 ^ 0x5dbb6647 + u16_0 ^ state0 | u16_2 ^ flags0 + 0xd90ded5 ^ 0x5dbb6647 + 0x7ebb48a2
64	vmop_064_plus0x4_state_add_const_slot_multi_path	algebraic_mba	state_add_const	state0;flags0;u16_2	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 - 0x79614de5 ^ u16_2 + flags0 + 0x4cd0c9ae + 0x711675f2 & 0x5b249a06 ^ flags0 + 0x4cd0c9ae + 0x711675f2 & 0x5b249a06 + 0x729dddb0
65	vmop_065_plus0x4_state_simple_slot_mba_stateful	algebraic_mba	state_simple	state0	candidate_simplified	identity	state0	4107	random_differential_against_compiled_original_not_formal_proof	state0
66	vmop_066_plus0x3_state_add_const_slot_multi_path	algebraic_mba	state_add_const	state0;b2;flags0;u16_0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 & 0x2f6cb1f6 - b2 ^ state0 & 0x2f6cb1f6 ^ 0x745ff1d2 & 0x13de2cdd - flags0 - 0x50170614 | 0x7167293a ^ 0x42a6ffd6 ^ u16_0 - state0 & 0x2f6cb1f6 - b2 ^ state0 & 0x2f6cb1f6 ^ 0x745ff1d2 & 0x13de2cdd - flags0 - 0x50170614 | 0x7167293a ^ 0x42a6ffd6 - 0x3cd18153
69	vmop_069_plus0xd_state_formula_slot_unknown	dispatch_unknown	state_formula	state0;flags0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 ^ flags0 ^ flags0 - flags0 + state0 ^ flags0 ^ flags0 + 0x55fafa0c - 0x5abc12af ^ state0 ^ flags0 ^ flags0 | 0x58fb4a0c ^ 0x62ac6845 ^ flags0 + state0 ^ flags0 ^ flags0 + 0x55fafa0c - 0x5abc12af ^ state0 ^ flags0 ^ flags0 | 0x58fb4a0c ^ state0 ^ flags0 ^ flags0 - flags0 + state0 ^ flags0 ^ flags0 + 0x55fafa0c - 0x5abc12af ^ state0 ^ flags0 ^ flags0 | 0x58fb4a0c ^ 0x62ac6845 | 0x528cef01
70	vmop_070_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	state_add_const	state0;flags0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 ^ flags0 ^ flags0 - flags0 + state0 ^ flags0 ^ flags0 + 0x55fafa0c - 0x5abc12af ^ state0 ^ flags0 ^ flags0 | 0x58fb4a0c ^ 0x62ac6845 ^ flags0 + state0 ^ flags0 ^ flags0 + 0x55fafa0c - 0x5abc12af ^ state0 ^ flags0 ^ flags0 | 0x58fb4a0c ^ state0 ^ flags0 ^ flags0 - flags0 + state0 ^ flags0 ^ flags0 + 0x55fafa0c - 0x5abc12af ^ state0 ^ flags0 ^ flags0 | 0x58fb4a0c ^ 0x62ac6845 | 0x528cef01
74	vmop_074_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	state_add_const	state0;flags0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 - flags0 & state0 - 0x7af5a4e2 - 0x619b65dc ^ 0x65dcaffc + 0x33d7fc12
75	vmop_075_minus0x6d_sampled_backedge_slot_unknown	dispatch_unknown	sampled_backedge	state0	candidate_simplified	identity	state0	4107	random_differential_against_compiled_original_not_formal_proof	state0
78	vmop_078_plus0xd_state_preserve_slot_multi_path	algebraic_mba	state_preserve	state0;flags0;u16_0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 - flags0 ^ 0xc7e744f ^ 0x623ccce4 & 0xd4da920 | flags0 ^ 0xc7e744f ^ 0x225dfa31 - 0x6110d031 ^ 0x3fcb6e9a ^ flags0 ^ 0xc7e744f + 0x60a9dba6 | u16_0 ^ state0 - flags0 ^ 0xc7e744f ^ 0x623ccce4 & 0xd4da920 | flags0 ^ 0xc7e744f ^ 0x225dfa31 - 0x6110d031 ^ 0x3fcb6e9a ^ flags0 ^ 0xc7e744f + 0x60a9dba6
79	vmop_079_plus0x5_state_add_const_slot_multi_path	algebraic_mba	state_add_const	state0;flags0;u16_0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 - flags0 ^ 0xc7e744f ^ 0x623ccce4 & 0xd4da920 | flags0 ^ 0xc7e744f ^ 0x225dfa31 - 0x6110d031 ^ 0x3fcb6e9a ^ flags0 ^ 0xc7e744f + 0x60a9dba6 | u16_0 ^ state0 - flags0 ^ 0xc7e744f ^ 0x623ccce4 & 0xd4da920 | flags0 ^ 0xc7e744f ^ 0x225dfa31 - 0x6110d031 ^ 0x3fcb6e9a ^ flags0 ^ 0xc7e744f + 0x60a9dba6
82	vmop_082_plus0x3_state_add_const_slot_mba_stateful	algebraic_mba	state_add_const	state0;flags0;u16_0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 + flags0 + 0x1bc90d20 | 0x2d688b3e - u16_0 + state0 + flags0 + 0x1bc90d20 | 0x2d688b3e + 0x5cc5e4d8
83	vmop_083_plus0x5_state_add_const_slot_multi_path	algebraic_mba	state_add_const	state0;flags0;u16_0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 & 0x122d7f19 | flags0 + 0x60e2eab8 - 0x34a4c404 - u16_0 + state0 & 0x122d7f19 | flags0 + 0x60e2eab8 - 0x34a4c404 ^ 0x4b7ebb84
88	vmop_088_plus0x5_state_add_const_slot_multi_path	algebraic_mba	state_add_const	state0;flags0;u16_1	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 | flags0 - 0x1c9cfcea ^ u16_1 + state0 | flags0 - 0x1c9cfcea ^ 0x415462f5
90	vmop_090_plus0x4_state_add_const_slot_mba_stateful	algebraic_mba	state_add_const	state0;flags0;u16_0;u16_2	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 + flags0 + flags0 + 0x1c1030c0 + flags0 & 0x4b6fdae0 | 0x4357e3c2 & u16_2 - state0 + flags0 + flags0 + 0x1c1030c0 + flags0 & 0x4b6fdae0 | 0x4357e3c2 + flags0 & 0x4b6fdae0 | 0x59296ab9 | flags0 & 0x4b6fdae0 | 0x3296b63d ^ 0x6ee390ce ^ u16_0 + 0x224914c1
91	vmop_091_plus0x4_state_add_const_slot_mba_stateful	algebraic_mba	state_add_const	state0;u16_0	candidate_simplified	identity	u16_0	4107	random_differential_against_compiled_original_not_formal_proof	state0 ^ u16_0 ^ state0
