block	start	end	size	events	unique_start_ips	unique_sources	top_sources	top_targets	top_deltas	byte_statuses
10	0xd4bfc	0xd4cb9	0xbd	51	51	21	28:6,184:4,258:4,185:3,174:3,176:3,340:3,64:2	28:6,184:4,258:4,174:3,176:3,340:3,185:2,64:2	+0x4:33,+0x3:17,+0x6:1	exact:51
11	0xd4cc7	0xd5044	0x37d	232	232	49	340:14,307:12,28:12,18:12,258:11,64:10,114:10,20:10	340:14,307:12,28:12,18:12,258:11,64:10,114:10,20:10	+0x4:150,+0x3:67,+0x6:7,+0x5:4,+0x2:2,+0xd:2	exact:232
12	0xd5055	0xd521e	0x1c9	121	121	43	189:11,28:7,114:6,215:6,315:5,185:5,66:4,258:4	189:11,28:7,114:6,215:6,315:5,185:5,66:4,258:4	+0x4:82,+0x3:33,+0x6:3,+0x5:2,+0x2:1	exact:121
13	0xd522f	0xd5641	0x412	273	273	64	18:18,64:15,337:15,114:14,123:12,307:11,28:10,66:10	18:18,64:15,337:15,114:14,123:12,307:11,28:10,66:10	+0x4:171,+0x3:74,+0x5:10,+0x2:9,+0x6:7,+0xd:2	exact:273
14	0xd564f	0xd57f4	0x1a5	103	103	48	64:6,185:5,297:5,347:4,168:4,203:4,337:3,43:3	64:6,185:5,297:5,347:4,168:4,203:4,337:3,43:3	+0x4:62,+0x3:22,+0x5:9,+0x2:6,+0x6:3,+0x23e:1	exact:102,prefix_32_of_574:1
15	0xd5a12	0xd5b17	0x105	71	71	33	297:5,347:5,189:5,215:4,174:4,258:3,176:3,158:3	297:5,347:5,189:5,215:4,174:4,258:3,176:3,158:3	+0x4:43,+0x3:20,+0x2:4,+0x5:3,+0x6:1	exact:71
16	0xd5b25	0xd5cfb	0x1d6	126	126	44	347:12,28:8,18:6,215:5,258:5,189:5,185:5,337:5	347:12,28:8,18:6,215:5,258:5,189:5,185:5,337:5	+0x4:85,+0x3:34,+0x2:3,+0x6:2,+0x5:2	exact:126
17	0xd5d09	0xd5ebc	0x1b3	116	116	36	64:8,185:8,347:8,66:7,189:6,28:5,176:5,305:4	64:8,185:8,347:8,66:7,189:6,28:5,176:5,305:4	+0x4:80,+0x3:32,+0x6:2,+0x2:1,+0x5:1	exact:116
18	0xd718e	0xd73ae	0x220	145	145	53	64:9,114:8,43:7,199:6,347:6,18:6,174:6,185:5	64:9,114:8,43:7,199:6,347:6,18:6,174:6,185:5	+0x4:95,+0x3:37,+0x2:5,+0x5:5,+0x6:3	exact:145
19	0xd73bc	0xd75f1	0x235	150	150	55	347:9,185:8,158:7,66:6,189:6,18:6,340:6,28:6	347:9,185:8,158:7,66:6,189:6,18:6,340:6,28:6	+0x4:95,+0x3:38,+0x5:7,+0x2:6,+0x6:4	exact:150
20	0xd75ff	0xd77c8	0x1c9	121	121	42	337:9,66:7,199:5,64:5,340:5,114:5,28:5,18:5	337:9,66:7,199:5,64:5,340:5,114:5,28:5,18:5	+0x4:82,+0x3:33,+0x6:3,+0x5:2,+0x2:1	exact:121
21	0xd77d9	0xd790a	0x131	73	73	32	64:6,43:5,18:4,258:3,243:3,196:3,66:3,347:3	64:6,43:5,18:4,258:3,243:3,196:3,66:3,347:3	+0x4:51,+0x3:17,+0x5:2,+0x2:1,+0x6:1,+0x2aa5:1	exact:72,prefix_32_of_10917:1
22	0xda38f	0xda4b0	0x121	78	78	37	258:6,199:5,189:4,123:4,114:3,185:3,307:3,28:3	258:6,199:5,189:4,123:4,114:3,185:3,307:3,28:3	+0x4:46,+0x3:21,+0x2:5,+0x5:4,+0x6:2	exact:78
23	0xda4be	0xda607	0x149	79	79	38	18:7,26:5,64:4,66:4,114:4,168:4,333:3,43:3	18:7,26:5,64:4,66:4,114:4,168:4,333:3,43:3	+0x4:53,+0x3:18,+0x5:3,+0x2:2,+0x6:2,+0x670:1	exact:78,prefix_32_of_1648:1
24	0xdac57	0xdad78	0x121	78	78	38	64:7,176:5,123:5,347:4,18:4,307:4,215:3,340:3	64:7,176:5,123:5,347:4,18:4,307:4,215:3,340:3	+0x4:46,+0x3:21,+0x2:5,+0x5:4,+0x6:2	exact:78
25	0xdad86	0xdaf39	0x1b3	116	116	38	340:9,258:6,18:6,199:6,184:6,64:5,337:5,185:4	340:9,258:6,18:6,199:6,184:6,64:5,337:5,185:4	+0x4:80,+0x3:32,+0x6:2,+0x2:1,+0x5:1	exact:116
26	0x11ac5e	0x11aee0	0x282	170	170	61	18:10,337:9,340:8,66:7,258:6,189:6,215:6,287:5	18:10,337:9,340:8,66:7,258:6,189:6,215:6,287:5	+0x4:104,+0x3:41,+0x5:11,+0x2:9,+0x6:5	exact:170
27	0x11aeee	0x11b122	0x234	150	150	53	340:7,185:7,307:7,114:6,26:6,258:6,184:6,203:5	340:7,185:7,307:7,114:6,26:6,258:6,184:6,203:5	+0x4:96,+0x3:38,+0x2:6,+0x5:6,+0x6:4	exact:150
28	0x11b130	0x11b364	0x234	150	150	51	340:9,114:7,337:7,28:6,172:6,307:6,18:5,189:5	340:9,114:7,337:7,28:6,172:6,307:6,18:5,189:5	+0x4:96,+0x3:38,+0x2:6,+0x5:6,+0x6:4	exact:150
29	0x11b372	0x11b5a6	0x234	150	150	53	114:8,66:7,18:7,258:7,185:7,333:6,189:6,346:5	114:8,66:7,18:7,258:7,185:7,333:6,189:6,346:5	+0x4:96,+0x3:38,+0x2:6,+0x5:6,+0x6:4	exact:150
30	0x11b5b4	0x11b7e8	0x234	150	150	55	215:9,347:8,337:8,64:7,66:7,203:6,297:6,189:6	215:9,347:8,337:8,64:7,66:7,203:6,297:6,189:6	+0x4:96,+0x3:38,+0x2:6,+0x5:6,+0x6:4	exact:150
31	0x11b7f6	0x11ba2a	0x234	150	150	54	337:9,189:8,340:8,307:7,28:6,297:6,199:6,168:5	337:9,189:8,340:8,307:7,28:6,297:6,199:6,168:5	+0x4:96,+0x3:38,+0x2:6,+0x5:6,+0x6:4	exact:150
32	0x11ba38	0x11bb7e	0x146	85	85	41	28:5,337:5,18:4,157:4,268:4,347:4,305:4,243:4	28:5,337:5,18:4,157:4,268:4,347:4,305:4,243:4	+0x4:55,+0x3:19,+0x5:5,+0x2:3,+0x6:3	exact:85
33	0x11bb8f	0x11bbf4	0x65	19	19	19	183:1,203:1,297:1,337:1,49:1,198:1,185:1,124:1	203:1,297:1,337:1,49:1,198:1,185:1,124:1,43:1	+0x4:7,+0x5:4,+0x3:3,+0x2:3,+0x6:1,+0x54:1	exact:18,prefix_32_of_84:1
34	0x11bc28	0x11bd5f	0x137	84	84	37	123:7,66:5,64:4,114:4,28:4,347:4,337:4,273:3	123:7,66:5,64:4,114:4,28:4,347:4,337:4,273:3	+0x4:49,+0x3:22,+0x2:6,+0x5:5,+0x6:2	exact:84
35	0x11bd6d	0x11beb3	0x146	85	85	43	315:5,168:4,258:4,287:4,215:4,114:4,337:3,185:3	315:5,168:4,258:4,287:4,215:4,114:4,337:3,185:3	+0x4:55,+0x3:19,+0x5:5,+0x2:3,+0x6:3	exact:85
36	0x11bec4	0x11bf29	0x65	19	19	19	183:1,66:1,196:1,64:1,79:1,198:1,200:1,203:1	66:1,196:1,64:1,79:1,198:1,200:1,203:1,258:1	+0x4:7,+0x5:4,+0x3:3,+0x2:3,+0x6:1,+0x54:1	exact:18,prefix_32_of_84:1
37	0x11bf5d	0x11c0ac	0x14f	90	90	44	347:6,18:5,333:4,114:4,66:4,297:4,176:4,20:4	347:6,18:5,333:4,114:4,66:4,297:4,176:4,20:4	+0x4:51,+0x3:23,+0x2:7,+0x5:6,+0x6:3	exact:90
38	0x11c0ba	0x11c200	0x146	85	85	41	64:4,307:4,203:4,315:4,168:3,287:3,66:3,243:3	64:4,307:4,203:4,315:4,168:3,287:3,66:3,243:3	+0x4:55,+0x3:19,+0x5:5,+0x2:3,+0x6:3	exact:85
39	0x11c211	0x11c276	0x65	19	19	17	18:2,168:2,322:1,183:1,49:1,108:1,64:1,28:1	168:2,322:1,183:1,49:1,108:1,64:1,28:1,200:1	+0x4:7,+0x5:4,+0x3:3,+0x2:3,+0x6:1,+0x54:1	exact:18,prefix_32_of_84:1
40	0x11c2aa	0x11c3f9	0x14f	90	90	46	347:6,20:6,307:5,114:4,215:4,189:4,340:3,185:3	347:6,20:6,307:5,114:4,215:4,189:4,340:3,185:3	+0x4:51,+0x3:23,+0x2:7,+0x5:6,+0x6:3	exact:90
41	0x11c407	0x11c682	0x27b	169	169	60	347:8,28:8,297:7,258:7,215:7,333:7,114:7,185:6	347:8,28:8,297:7,258:7,215:7,333:7,114:7,185:6	+0x4:105,+0x3:41,+0x5:10,+0x2:9,+0x6:4	exact:169
42	0x11c690	0x11ca2a	0x39a	244	244	77	307:11,64:10,297:8,114:8,337:8,18:8,347:7,28:7	307:11,64:10,297:8,114:8,337:8,18:8,347:7,28:7	+0x4:137,+0x3:53,+0x5:25,+0x2:21,+0x6:8	exact:244
43	0x11ca38	0x11ccf7	0x2bf	187	187	60	64:9,258:8,189:8,215:8,114:8,66:7,28:7,307:7	64:9,258:8,189:8,215:8,114:8,66:7,28:7,307:7	+0x4:113,+0x3:44,+0x5:13,+0x2:12,+0x6:5	exact:187
44	0x11cd05	0x11cf21	0x21c	144	144	48	18:10,114:10,337:7,199:6,196:6,297:6,305:5,258:5	18:10,114:10,337:7,199:6,196:6,297:6,305:5,258:5	+0x4:94,+0x3:37,+0x2:5,+0x5:5,+0x6:3	exact:144
45	0x11cf2f	0x11d207	0x2d8	193	193	65	258:11,66:8,114:7,337:7,172:7,185:7,297:6,347:6	258:11,66:8,114:7,337:7,172:7,185:7,297:6,347:6	+0x4:114,+0x3:45,+0x5:15,+0x2:13,+0x6:6	exact:193
46	0x11d215	0x11d3d3	0x1be	119	119	40	28:7,337:7,347:7,243:6,66:6,196:6,307:5,18:5	28:7,337:7,347:7,243:6,66:6,196:6,307:5,18:5	+0x4:82,+0x3:33,+0x6:2,+0x2:1,+0x5:1	exact:119
47	0x11d3e1	0x11d6a2	0x2c1	187	187	66	337:8,185:8,340:8,114:7,215:7,18:7,258:6,172:6	337:8,185:8,340:8,114:7,215:7,18:7,258:6,172:6	+0x4:111,+0x3:44,+0x5:15,+0x2:12,+0x6:5	exact:187
48	0x11d6b0	0x11d91b	0x26b	164	164	63	347:9,28:9,114:8,18:6,340:6,307:5,196:5,297:5	347:9,28:9,114:8,18:6,340:6,307:5,196:5,297:5	+0x4:100,+0x3:41,+0x5:10,+0x2:8,+0x6:5	exact:164
49	0x11d929	0x11da3a	0x111	72	72	34	66:6,305:4,114:4,18:4,157:3,340:3,346:3,64:3	66:6,305:4,114:4,18:4,157:3,340:3,346:3,64:3	+0x4:51,+0x3:17,+0x5:2,+0x2:1,+0x6:1	exact:72
50	0x11da4b	0x11dc27	0x1dc	124	124	44	28:7,189:7,347:5,215:5,123:5,307:5,114:5,337:5	28:7,189:7,347:5,215:5,123:5,307:5,114:5,337:5	+0x4:84,+0x3:34,+0x6:2,+0x5:2,+0x221770:1,+0x2:1	exact:123,prefix_32_of_2234224:1
51	0x11dc37	0x11de14	0x1dd	124	124	42	340:8,297:8,28:7,114:6,337:6,347:6,18:5,64:5	340:8,297:8,28:7,337:6,347:6,114:5,18:5,64:5	+0x4:85,+0x3:33,+0x6:2,+0x5:2,+0x2426ba:1,+0x2:1	exact:123,prefix_32_of_2369210:1
52	0x11de27	0x11de59	0x32	6	6	6	157:1,258:1,185:1,3:1,256:1,266:1	258:1,185:1,3:1,256:1,266:1,171:1	+0x4:2,+0x3:1,+0x5:1,+0x2:1,+0x66:1	exact:5,prefix_32_of_102:1
53	0x11de9f	0x11e02d	0x18e	105	105	53	297:7,199:5,18:5,114:5,184:5,189:4,337:4,347:4	297:7,199:5,18:5,114:5,184:5,189:4,337:4,347:4	+0x4:54,+0x3:25,+0x5:13,+0x2:9,+0x6:4	exact:105
54	0x11e03e	0x11e14f	0x111	72	72	34	337:5,346:4,333:4,64:4,243:4,157:4,199:4,28:3	337:5,346:4,333:4,64:4,243:4,157:4,199:4,28:3	+0x4:51,+0x3:17,+0x5:2,+0x2:1,+0x6:1	exact:72
55	0x11e15f	0x11e27c	0x11d	76	76	39	123:6,347:6,185:4,258:4,307:4,199:4,337:3,297:3	123:6,347:6,185:4,258:4,307:4,199:4,337:3,297:3	+0x4:45,+0x3:20,+0x5:5,+0x2:4,+0x6:2	exact:76
56	0x11e28a	0x11e3bb	0x131	73	73	36	333:6,315:4,114:4,347:4,168:3,18:3,26:3,258:3	333:6,315:4,114:4,347:4,168:3,18:3,26:3,258:3	+0x4:51,+0x3:17,+0x5:2,+0x2:1,+0x6:1,+0x1d9:1	exact:72,prefix_32_of_473:1
57	0x11e574	0x11e695	0x121	78	78	40	340:5,337:4,28:4,161:4,20:4,215:4,18:3,189:3	340:5,337:4,28:4,161:4,20:4,215:4,18:3,189:3	+0x4:46,+0x3:21,+0x2:5,+0x5:4,+0x6:2	exact:78
58	0x11e6a3	0x11e962	0x2bf	187	187	62	18:11,347:10,337:10,340:7,268:6,64:6,203:6,185:6	18:11,347:10,337:10,340:7,268:6,64:6,203:6,185:6	+0x4:113,+0x3:44,+0x5:13,+0x2:12,+0x6:5	exact:187
59	0x11e970	0x11eb8c	0x21c	144	144	48	64:11,199:8,189:8,307:6,340:6,28:5,18:5,215:5	64:11,199:8,189:8,307:6,340:6,28:5,18:5,215:5	+0x4:94,+0x3:37,+0x2:5,+0x5:5,+0x6:3	exact:144
60	0x11eb9a	0x11edcf	0x235	150	150	55	258:8,347:7,18:7,340:7,28:6,337:6,123:6,307:5	258:8,347:7,18:7,340:7,28:6,337:6,123:6,307:5	+0x4:95,+0x3:38,+0x5:7,+0x2:6,+0x6:4	exact:150
61	0x11eddd	0x11ef0e	0x131	73	73	33	189:4,28:4,258:4,337:4,185:4,196:4,33:3,43:3	189:4,28:4,258:4,337:4,185:4,196:4,33:3,43:3	+0x4:51,+0x3:17,+0x5:2,+0x2:1,+0x6:1,+0x77:1	exact:72,prefix_32_of_119:1
62	0x11ef65	0x11f1b9	0x254	158	158	62	114:8,189:7,297:7,28:6,337:6,43:6,160:5,66:5	114:8,189:7,297:7,28:6,337:6,43:6,160:5,66:5	+0x4:78,+0x3:34,+0x5:22,+0x2:18,+0x6:6	exact:158
63	0x11f1c5	0x11f39b	0x1d6	125	125	43	340:8,307:7,66:7,347:6,114:6,215:5,26:5,258:5	340:8,307:7,66:7,347:6,114:6,215:5,26:5,258:5	+0x4:84,+0x3:34,+0x6:3,+0x2:2,+0x5:2	exact:125
64	0x11f3a9	0x11f4da	0x131	73	73	31	64:5,114:5,196:4,215:4,297:4,199:3,347:3,26:3	64:5,114:5,196:4,215:4,297:4,199:3,347:3,26:3	+0x4:51,+0x3:17,+0x5:2,+0x2:1,+0x6:1,+0x1518:1	exact:72,prefix_32_of_5400:1
65	0x1209d2	0x120af4	0x122	78	78	38	114:6,258:5,18:5,28:4,174:4,184:4,176:4,297:3	114:6,258:5,18:5,28:4,174:4,184:4,176:4,297:3	+0x4:45,+0x3:21,+0x2:5,+0x5:5,+0x6:2	exact:78
66	0x120b02	0x120d67	0x265	163	163	60	18:7,340:7,64:7,258:6,215:6,157:6,297:6,189:6	18:7,340:7,64:7,258:6,215:6,157:6,297:6,189:6	+0x4:100,+0x3:41,+0x5:10,+0x2:8,+0x6:4	exact:163
67	0x120d75	0x120ebe	0x149	79	79	33	185:6,287:6,347:5,346:4,340:4,268:3,64:3,297:3	185:6,287:6,347:5,346:4,340:4,268:3,64:3,297:3	+0x4:53,+0x3:18,+0x5:3,+0x2:2,+0x6:2,+0x238:1	exact:78,prefix_32_of_568:1
68	0x1210d6	0x121199	0xc3	53	53	21	258:6,123:5,174:5,307:4,199:4,114:4,64:3,176:3	258:6,123:5,174:5,307:4,199:4,114:4,64:3,176:3	+0x4:34,+0x3:17,+0x2:1,+0x6:1	exact:53
69	0x1211a7	0x121435	0x28e	174	174	62	347:10,18:9,114:8,28:8,307:7,43:7,189:6,157:6	347:10,18:9,114:8,28:8,307:7,43:7,189:6,157:6	+0x4:106,+0x3:42,+0x5:12,+0x2:10,+0x6:4	exact:174
70	0x121443	0x121690	0x24d	156	156	54	215:9,337:8,189:8,114:7,199:7,66:6,185:5,315:5	215:9,337:8,189:8,114:7,199:7,66:6,185:5,315:5	+0x4:97,+0x3:39,+0x5:8,+0x2:7,+0x6:5	exact:156
71	0x12169e	0x1217c7	0x129	78	78	36	268:5,258:4,157:4,189:4,28:3,33:3,18:3,337:3	268:5,258:4,157:4,189:4,28:3,33:3,18:3,337:3	+0x4:53,+0x3:18,+0x5:3,+0x2:2,+0x6:2	exact:78
72	0x1217d8	0x121924	0x14c	88	88	42	215:6,64:4,18:4,189:4,114:4,199:4,123:4,176:4	215:6,64:4,18:4,189:4,114:4,199:4,123:4,176:4	+0x4:48,+0x3:23,+0x5:7,+0x2:6,+0x6:4	exact:88
73	0x121932	0x121a7b	0x149	79	79	35	26:5,114:5,64:4,307:4,315:4,258:4,157:3,28:3	26:5,114:5,64:4,307:4,315:4,258:4,157:3,28:3	+0x4:53,+0x3:18,+0x5:3,+0x2:2,+0x6:2,+0x2f:1	exact:78,prefix_32_of_47:1
74	0x121a8a	0x121ada	0x50	14	14	12	171:2,18:2,333:1,340:1,239:1,3:1,144:1,273:1	18:2,171:2,333:1,340:1,239:1,3:1,144:1,273:1	+0x4:5,+0x2:3,+0x3:2,+0x5:2,+0x6:1,+0x77:1	exact:13,prefix_32_of_119:1
75	0x121b31	0x121c83	0x152	90	90	43	189:6,66:5,174:5,337:5,28:4,123:4,297:3,269:3	189:6,66:5,174:5,337:5,28:4,123:4,297:3,269:3	+0x4:49,+0x3:23,+0x2:7,+0x5:7,+0x6:4	exact:90
76	0x121c91	0x121ec6	0x235	150	150	54	340:11,189:10,307:9,28:7,297:7,18:6,305:5,258:5	340:11,189:10,307:9,28:7,297:7,18:6,305:5,258:5	+0x4:95,+0x3:38,+0x5:7,+0x2:6,+0x6:4	exact:150
77	0x121ed4	0x12201d	0x149	79	79	37	18:5,43:5,66:4,157:4,340:4,185:4,337:3,333:3	18:5,43:5,66:4,157:4,340:4,185:4,337:3,333:3	+0x4:53,+0x3:18,+0x5:3,+0x2:2,+0x6:2,+0x77:1	exact:78,prefix_32_of_119:1
78	0x122074	0x122196	0x122	78	78	36	158:6,174:5,28:4,114:4,189:4,199:4,64:4,307:4	158:6,174:5,28:4,114:4,189:4,199:4,64:4,307:4	+0x4:45,+0x3:21,+0x2:5,+0x5:5,+0x6:2	exact:78
79	0x1221a4	0x1222ed	0x149	79	79	36	258:5,168:5,157:4,305:4,215:4,347:3,297:3,307:3	258:5,168:5,157:4,305:4,215:4,347:3,297:3,307:3	+0x4:53,+0x3:18,+0x5:3,+0x2:2,+0x6:2,+0x77:1	exact:78,prefix_32_of_119:1
80	0x122344	0x122466	0x122	78	78	39	114:6,66:5,347:4,176:4,340:4,20:4,18:4,258:3	114:6,66:5,347:4,176:4,340:4,20:4,18:4,258:3	+0x4:45,+0x3:21,+0x2:5,+0x5:5,+0x6:2	exact:78
81	0x122474	0x122615	0x1a1	109	109	48	258:10,185:5,333:5,18:4,33:4,243:4,268:4,157:4	258:10,185:5,333:5,18:4,33:4,243:4,268:4,157:4	+0x4:65,+0x3:23,+0x5:10,+0x2:7,+0x6:4	exact:109
82	0x122626	0x1226e6	0xc0	42	42	31	333:4,144:3,347:3,3:2,124:2,28:2,192:2,322:1	333:4,144:3,347:3,3:2,124:2,28:2,192:2,183:1	+0x4:16,+0x5:9,+0x3:7,+0x2:6,+0x6:3,+0x380:1	exact:41,prefix_32_of_896:1
83	0x122a46	0x122c7b	0x235	142	142	59	28:8,340:7,18:6,258:6,185:5,108:4,189:4,352:4	28:8,340:7,18:6,258:6,185:5,108:4,189:4,352:4	+0x4:69,+0x3:31,+0x5:18,+0x2:16,+0x6:7,+0x20:1	exact:142
84	0x122c89	0x122e3c	0x1b3	116	116	40	114:8,28:7,189:6,64:6,18:5,340:5,307:5,176:5	114:8,28:7,189:6,64:6,18:5,340:5,307:5,176:5	+0x4:80,+0x3:32,+0x6:2,+0x2:1,+0x5:1	exact:116
85	0x128952	0x128b72	0x220	145	145	52	185:9,340:8,64:7,347:7,66:7,258:6,307:6,161:6	185:9,340:8,64:7,347:7,66:7,258:6,307:6,161:6	+0x4:95,+0x3:37,+0x2:5,+0x5:5,+0x6:3	exact:145
86	0x128b80	0x128de7	0x267	163	163	59	189:9,28:8,347:7,66:7,340:7,185:6,333:5,243:5	189:9,28:8,347:7,66:7,340:7,185:6,333:5,243:5	+0x4:101,+0x3:40,+0x5:9,+0x2:8,+0x6:5	exact:163
87	0x128df5	0x12906f	0x27a	169	169	60	307:9,18:8,340:8,114:7,215:7,64:6,347:6,199:5	307:9,18:8,340:8,114:7,215:7,64:6,347:6,199:5	+0x4:106,+0x3:41,+0x2:9,+0x5:9,+0x6:4	exact:169
88	0x1705a9	0x170856	0x2ad	182	182	68	347:9,66:8,18:8,307:7,337:6,315:6,268:6,114:6	347:9,66:8,18:8,307:7,337:6,315:6,268:6,114:6	+0x4:111,+0x3:43,+0x5:12,+0x2:11,+0x6:5	exact:182
89	0x170864	0x170b41	0x2dd	194	194	67	28:10,337:9,340:8,114:7,199:7,189:6,333:6,64:6	28:10,337:9,340:8,114:7,199:7,189:6,333:6,64:6	+0x4:115,+0x3:45,+0x5:14,+0x2:13,+0x6:7	exact:194
90	0x170b4f	0x170db1	0x262	162	162	58	199:9,347:9,258:7,340:7,18:6,174:6,307:5,64:5	199:9,347:9,258:7,340:7,18:6,174:6,307:5,64:5	+0x4:101,+0x3:40,+0x2:8,+0x5:8,+0x6:5	exact:162
91	0x170dbf	0x170fdb	0x21c	144	144	51	185:10,347:9,64:9,337:7,158:7,297:6,189:6,157:5	185:10,347:9,64:9,337:7,158:7,297:6,189:6,157:5	+0x4:94,+0x3:37,+0x2:5,+0x5:5,+0x6:3	exact:144
92	0x170fe9	0x171205	0x21c	144	144	52	64:9,337:9,18:7,157:7,114:6,347:5,185:5,307:5	64:9,337:9,18:7,157:7,114:6,347:5,185:5,307:5	+0x4:94,+0x3:37,+0x2:5,+0x5:5,+0x6:3	exact:144
93	0x171213	0x1714bc	0x2a9	181	181	62	337:9,28:8,340:7,347:7,199:7,66:6,18:6,258:6	337:9,28:8,340:7,347:7,199:7,66:6,18:6,258:6	+0x4:110,+0x3:43,+0x5:12,+0x2:11,+0x6:5	exact:181
94	0x1714ca	0x1717a7	0x2dd	194	194	64	189:11,307:9,64:8,18:8,347:7,66:7,43:7,258:7	189:11,307:9,64:8,18:8,347:7,66:7,43:7,258:7	+0x4:115,+0x3:45,+0x5:14,+0x2:13,+0x6:7	exact:194
95	0x1717b5	0x171a17	0x262	162	162	57	199:10,347:8,189:8,64:7,337:7,196:6,66:6,185:6	199:10,347:8,189:8,64:7,337:7,196:6,66:6,185:6	+0x4:101,+0x3:40,+0x2:8,+0x5:8,+0x6:5	exact:162
96	0x171a25	0x171c41	0x21c	144	144	49	337:8,340:7,64:7,158:7,297:6,18:6,28:6,307:5	337:8,340:7,64:7,158:7,297:6,18:6,28:6,307:5	+0x4:94,+0x3:37,+0x2:5,+0x5:5,+0x6:3	exact:144
97	0x171c4f	0x171e6b	0x21c	144	144	50	114:8,337:8,215:7,189:7,18:7,347:7,307:6,157:5	114:8,337:8,215:7,189:7,18:7,347:7,307:6,157:5	+0x4:94,+0x3:37,+0x2:5,+0x5:5,+0x6:3	exact:144
98	0x171e79	0x172122	0x2a9	181	181	61	18:12,337:11,189:8,268:8,258:7,66:7,297:6,185:6	18:12,337:11,189:8,268:8,258:7,66:7,297:6,185:6	+0x4:110,+0x3:43,+0x5:12,+0x2:11,+0x6:5	exact:181
99	0x172130	0x17240d	0x2dd	194	194	59	258:10,18:9,340:9,189:8,297:7,28:6,337:6,268:6	258:10,18:9,340:9,189:8,297:7,28:6,337:6,268:6	+0x4:115,+0x3:45,+0x5:14,+0x2:13,+0x6:7	exact:194
100	0x17241b	0x17264d	0x232	150	150	55	66:9,114:7,347:7,189:6,185:6,43:5,307:5,28:5	66:9,114:7,347:7,189:6,185:6,43:5,307:5,28:5	+0x4:97,+0x3:38,+0x2:6,+0x5:6,+0x6:3	exact:150
101	0x17265b	0x172877	0x21c	144	144	54	28:11,189:9,307:7,258:6,176:6,185:5,114:5,337:5	28:11,189:9,307:7,258:6,176:6,185:5,114:5,337:5	+0x4:94,+0x3:37,+0x2:5,+0x5:5,+0x6:3	exact:144
102	0x172885	0x172aa1	0x21c	144	144	49	18:10,258:9,64:7,174:7,43:6,307:6,215:6,340:6	18:10,258:9,64:7,174:7,43:6,307:6,215:6,340:6	+0x4:94,+0x3:37,+0x2:5,+0x5:5,+0x6:3	exact:144
